Catalogue Name,Boarding Type Split Factor,Min Age (Months),Max Age (Months),Pet Type Split Factor,Row Type,Amount,Discount Type,Breed Size,Kennel Category,Meal Name,Meal Type,Price Type,Modifies Base Bill,Min Pets,Days,Breed,Extra Info
  H3 Dog  Day Boarding,DAY,,,DOG,FLAGS,,,,,,,,,,,,"longevity=false, breed=false, spayedNeutered=false, adopted=false, multiPet=false, meal=false, breedSize=false, kennelCategory=false, clientTag=false, differential=false, overnightCheckoutMealInclusive=false, addKennelInStayLineItem=false, longevityModifiesBaseBill=false"
  H3 Dog  Day Boarding,DAY,,,DOG,DAY_BASE,700,,,,,,,,,,,dayBoardingExtendToOvernightCharge=
  H3 Dog  Day Boarding,DAY,,,DOG,BREED_SIZE,0,,Large,,,,,,,,,
  H3 Dog  Day Boarding,DAY,,,DOG,BREED_SIZE,0,,Medium,,,,,,,,,
  H3 Dog  Day Boarding,DAY,,,DOG,BREED_SIZE,0,,Small,,,,,,,,,
 H3 Dog  Overnight Boarding,OVERNIGHT,,,DOG,FLAGS,,,,,,,,,,,,"longevity=true, breed=false, spayedNeutered=false, adopted=false, multiPet=true, meal=false, breedSize=false, kennelCategory=false, clientTag=false, differential=false, overnightCheckoutMealInclusive=false, addKennelInStayLineItem=false, longevityModifiesBaseBill=false"
 H3 Dog  Overnight Boarding,OVERNIGHT,,,DOG,BASE,900,,,,,,,,,,,
 H3 Dog  Overnight Boarding,OVERNIGHT,,,DOG,DAY_BASE,0,,,,,,,,,,,dayBoardingExtendToOvernightCharge=
 H3 Dog  Overnight Boarding,OVERNIGHT,,,DOG,BREED_SIZE,0,,Large,,,,,,,,,
 H3 Dog  Overnight Boarding,OVERNIGHT,,,DOG,BREED_SIZE,0,,Medium,,,,,,,,,
 H3 Dog  Overnight Boarding,OVERNIGHT,,,DOG,BREED_SIZE,0,,Small,,,,,,,,,
 H3 Dog  Overnight Boarding,OVERNIGHT,,,DOG,MULTI_PET_DISCOUNT,10,PERCENTAGE,,,,,,,2,,,
 H3 Dog  Overnight Boarding,OVERNIGHT,,,DOG,LONGEVITY_DISCOUNT,10,PERCENTAGE,,,,,,,,15,,
