Catalogue Name,Boarding Type Split Factor,Min Age (Months),Max Age (Months),Pet Type Split Factor,Row Type,Amount,Discount Type,Breed Size,Kennel Category,Meal Name,Meal Type,Price Type,Modifies Base Bill,Min Pets,Days,Breed,Extra Info
Dog Day Boarding H4,DAY,,,DOG,FLAGS,,,,,,,,,,,,"longevity=false, breed=false, spayedNeutered=false, adopted=false, multiPet=false, meal=false, breedSize=false, kennelCategory=false, clientTag=false, differential=false, overnightCheckoutMealInclusive=false, addKennelInStayLineItem=false, longevityModifiesBaseBill=false"
Dog Day Boarding H4,DAY,,,DOG,DAY_BASE,700,,,,,,,,,,,dayBoardingExtendToOvernightCharge=
Dog Day Boarding H4,DAY,,,DOG,BREED_SIZE,0,,Large,,,,,,,,,
Dog Day Boarding H4,DAY,,,DOG,BREED_SIZE,0,,Medium,,,,,,,,,
Dog Day Boarding H4,DAY,,,DOG,BREED_SIZE,0,,Small,,,,,,,,,
Dog Overnight Boarding H4,OVERNIGHT,,,DOG,FLAGS,,,,,,,,,,,,"longevity=true, breed=false, spayedNeutered=false, adopted=false, multiPet=true, meal=false, breedSize=false, kennelCategory=false, clientTag=false, differential=false, overnightCheckoutMealInclusive=false, addKennelInStayLineItem=false, longevityModifiesBaseBill=true"
Dog Overnight Boarding H4,OVERNIGHT,,,DOG,BASE,900,,,,,,,,,,,
Dog Overnight Boarding H4,OVERNIGHT,,,DOG,DAY_BASE,0,,,,,,,,,,,dayBoardingExtendToOvernightCharge=
Dog Overnight Boarding H4,OVERNIGHT,,,DOG,BREED_SIZE,0,,Large,,,,,,,,,
Dog Overnight Boarding H4,OVERNIGHT,,,DOG,BREED_SIZE,0,,Medium,,,,,,,,,
Dog Overnight Boarding H4,OVERNIGHT,,,DOG,BREED_SIZE,0,,Small,,,,,,,,,
Dog Overnight Boarding H4,OVERNIGHT,,,DOG,MULTI_PET_DISCOUNT,10,PERCENTAGE,,,,,,,2,,,
Dog Overnight Boarding H4,OVERNIGHT,,,DOG,LONGEVITY_DISCOUNT,10,PERCENTAGE,,,,,,,,15,,
